City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,noumea,-22.2763,166.4572,20.56,99,100,3.61,NC,1694741731
141,la sierpe,2.8518,-77.6155,25.29,89,100,0.98,CO,1694741731
142,atafu village,-8.5421,-172.5159,28.53,73,6,3.89,TK,1694741732
143,thaba nchu,-29.2093,26.839,6.6,57,1,1.05,ZA,1694741732
144,galich,58.3797,42.3475,12.42,71,87,2.33,RU,1694741733
145,qaqortoq,60.7167,-46.0333,6.16,86,100,2.93,GL,1694741733
146,walvis bay,-22.9575,14.5053,10.61,87,0,3.09,NA,1694741227
147,banes,20.9625,-75.7186,26.83,78,46,1.8,CU,1694741734
148,ulanhot,46.0833,122.0833,20.34,66,29,2.66,CN,1694741734
149,nova sintra,14.8667,-24.7167,24.61,78,32,3.87,CV,1694741734
150,aykhal,66.0,111.5,8.27,90,100,10.84,RU,1694741735
151,tadine,-21.55,167.8833,18.9,93,100,11.56,NC,1694741735
152,yarmouth,41.7057,-70.2286,20.03,87,0,0.0,US,1694741548
153,villanueva,15.3167,-88.0,28.55,79,20,4.63,HN,1694741466
154,kristiansund,63.1115,7.732,10.36,81,40,2.06,NO,1694741736
155,alofi,-19.0595,-169.9187,26.94,61,40,5.66,NU,1694741737
156,nar'yan-mar,67.6713,53.087,6.5,94,100,5.45,RU,1694741737
157,santa cruz,-17.8,-63.1667,21.7,56,75,1.54,BO,1694741610
158,flying fish cove,-10.4217,105.6791,25.82,78,75,7.72,CX,1694741739
159,geraldton,-28.7667,114.6,19.23,72,10,3.6,AU,1694741739
160,arraial do cabo,-22.9661,-42.0278,20.11,92,100,7.33,BR,1694741740
161,necochea,-38.5473,-58.7368,13.92,54,100,8.57,AR,1694741740
162,villa de cos,23.2833,-102.35,24.66,27,64,3.47,MX,1694741740
163,harstad,68.799,16.5293,6.0,91,59,5.81,NO,1694741741
164,alice springs,-23.7,133.8833,27.75,12,0,3.09,AU,1694741741
165,alaghsas,17.0187,8.0168,34.19,29,96,1.64,NE,1694741741
166,waddan,29.1614,16.139,20.89,53,0,3.45,LY,1694741742
167,pisco,-13.7,-76.2167,18.03,77,40,7.2,PE,1694741743
168,shubarkuduk,49.1447,56.4872,15.04,55,31,1.62,KZ,1694741743
169,kota belud,6.351,116.4305,30.41,59,95,1.92,MY,1694741743
170,st. john's,47.5649,-52.7093,17.86,98,100,7.2,CA,1694741744
171,newman,37.3138,-121.0208,31.99,44,0,0.89,US,1694741744
172,nizhniy ingash,56.2,96.53,13.79,65,85,2.38,RU,1694741745
173,morinville,53.8001,-113.652,18.1,44,0,2.06,CA,1694741745
